title,imdb_id
The Equalizer,tt0455944
The Hangover Part III,tt1951261
Mission: Impossible,tt0117060
Hotel Transylvania,tt0837562
San Andreas,tt2126355
War for the Planet of the Apes,tt3450958
It Chapter Two,tt7349950
Annihilation,tt2798920
Minority Report,tt0181689
Dallas Buyers Club,tt0790636
Doctor Strange in the Multiverse of Madness,tt9419884
Transformers: Revenge of the Fallen,tt1055369
Jumanji: The Next Level,tt7975244
Mean Girls,tt0377092
Solo: A Star Wars Story,tt3778644
Terminator Genisys,tt1340138
The Purge,tt2184339
Lady Bird,tt4925292
Sicario,tt3397884
Wonder Woman 1984,tt7126948
Alien: Covenant,tt2316204
Glass,tt6823368
About Time,tt2194499
After,tt4126476
Ocean's Eight,tt5164214
"Crazy, Stupid, Love.",tt1570728
The Conjuring 2,tt3065204
Spotlight,tt1895587
Shaun of the Dead,tt0365748
Argo,tt1024648
The Lost World: Jurassic Park,tt0119567
Transformers: Dark of the Moon,tt1399103
War of the Worlds,tt0407304
Source Code,tt0945513
The Suicide Squad,tt6334354
Ice Age: Dawn of the Dinosaurs,tt1080016
Twelve Monkeys,tt0114746
The Jungle Book,tt3040964
The Secret Life of Pets,tt2709768
Free Guy,tt6264654
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882
Luca,tt12801262
Transformers: Age of Extinction,tt2109248
Fast Five,tt1596343
Ghost in the Shell,tt1219827
Real Steel,tt0433035
Bad Boys for Life,tt1502397
Top Gun: Maverick,tt1745960
Baywatch,tt1469304
Sin City,tt0401792
The Help,tt1454029
Mission: Impossible - Fallout,tt4912910
Fifty Shades Freed,tt4477536
Snow White and the Huntsman,tt1735898
Eternals,tt9032400
22 Jump Street,tt2294449
Sing,tt3470600
Chappie,tt1823672
The Day After Tomorrow,tt0319262
The Simpsons Movie,tt0462538
Wonder,tt2543472
Pride & Prejudice,tt0414387
Friends with Benefits,tt1632708
10 Things I Hate About You,tt0147800
Fantastic Four: Rise of the Silver Surfer,tt0486576
10 Cloverfield Lane,tt1179933
Assassin's Creed,tt2094766
Focus,tt2381941
Armageddon,tt0120591
Quantum of Solace,tt0830515
Tomb Raider,tt1365519
King Kong,tt0360717
The Cabin in the Woods,tt1259521
Fargo,tt0116282
Fifty Shades Darker,tt4465564
Groundhog Day,tt0107048
The Terminal,tt0362227
The Lego Movie,tt1490017
The Nice Guys,tt3799694
Don't Look Up,tt11286314
The Expendables,tt1320253
Nocturnal Animals,tt4550098
Scott Pilgrim vs. the World,tt0446029
Maze Runner: The Death Cure,tt4500922
The Bourne Ultimatum,tt0440963
American Pie,tt0163651
Cars 2,tt1216475
The Secret Life of Walter Mitty,tt0359950
Pixels,tt2120120
Ice Age: Continental Drift,tt1667889
BlacKkKlansman,tt7349662
The Meg,tt4779682
127 Hours,tt1542344
Blood Diamond,tt0450259
Ralph Breaks the Internet,tt5848272
Valerian and the City of a Thousand Planets,tt2239822
The Bourne Supremacy,tt0372183
Ford v Ferrari,tt1950186
Percy Jackson & the Olympians: The Lightning Thief,tt0814255
Coraline,tt0327597
Creed,tt3076658
Hot Fuzz,tt0425112
Don't Breathe,tt4160708
Ted 2,tt2637276
The Butterfly Effect,tt0289879
Hereditary,tt7784604
Midnight in Paris,tt1605783
Hercules,tt0119282
American Hustle,tt1800241
Life,tt5442430
Green Lantern,tt1133985
2 Fast 2 Furious,tt0322259
Sausage Party,tt1700841
Us,tt6857112
Hugo,tt0970179
Dark Shadows,tt1077368
Shrek Forever After,tt0892791
The Super Mario Bros. Movie,tt6718170
The Mummy,tt2345759
Juno,tt0467406
Lost in Translation,tt0335266
Ocean's Twelve,tt0349903
Big Fish,tt0319061
50 First Dates,tt0343660
Fast & Furious,tt1013752
8 Mile,tt0298203
How the Grinch Stole Christmas,tt0170016
Sully,tt3263904
The Boss Baby,tt3874544
Cinderella,tt1661199
F9,tt5433138
Cloud Atlas,tt1371111
TRON: Legacy,tt1104001
Moonlight,tt4975722
Superbad,tt0829482
Fast & Furious Presents: Hobbs & Shaw,tt6806448
The Croods,tt0481499
Rush,tt1979320
Jurassic Park III,tt0163025
Tomorrowland,tt1964418
Neighbors,tt2004420
Wanted,tt0493464
Despicable Me 3,tt3469046
Nerve,tt3531824
Heat,tt0113277
The Boy in the Striped Pyjamas,tt0914798
Rampage,tt2231461
Cloverfield,tt1060277
Constantine,tt0360486
Click,tt0389860
Thor: Love and Thunder,tt10648342
Little Miss Sunshine,tt0449059
Children of Men,tt0206634
Jack Reacher,tt0790724
Easy A,tt1282140
Marriage Story,tt7653254
The Girl with the Dragon Tattoo,tt1568346
The Mummy Returns,tt0209163
Brokeback Mountain,tt0388795
Captain Phillips,tt1535109
Bridge of Spies,tt3682448
Night at the Museum: Battle of the Smithsonian,tt1078912
The Witch,tt4263482
Puss in Boots: The Last Wish,tt3915174
Hellboy,tt0167190
Teenage Mutant Ninja Turtles,tt1291150
Madagascar: Escape 2 Africa,tt0479952
Kung Fu Panda 2,tt1302011
Seven Pounds,tt0814314
Jupiter Ascending,tt1617661
Angels & Demons,tt0808151
Scary Movie,tt0175142
